,TID,CN,TW,EN,ES,RU,PO,DE,KR,JP,FR,IT,AR,TR,IN,
,Schmetterling,蝴蝶,蝴蝶,Schmetterling,Schmetterling,Schmetterling,Schmetterling,Schmetterling,나비,Schmetterling,Schmetterling,Schmetterling,سشمترلنغ,Schmetterling,Schmetterling,8
,Etude Op.10 No.1,练习曲Op.10 No.1,練習曲Op.10 No.1,Etude Op.10 No.1,Etude Op.10 No.1,Этюд Оп. 10 №1,Etude Op.10 No.1,Etude Op.10 Nr.1,에튀드Op.10 No.1,Etude Op.10 No.1,Etude Op.10 No.1,Etude Op.10 No.1,القطعة الموسيقية No.1 Op.10,Etude Op.10 No.1,Etude Op.10 No.1,27
,Die Forelle S.564,鳟鱼 S.564,鱒魚 S.564,Die Forelle S.564,Die Forelle S.564,Die Forelle S.564,Die Forelle S.564,Die Forelle S.564,송어 S.564,Die Forelle S.564,Die Forelle S.564,Die Forelle S.564,سمك السلمون المرقط S.564,Die Forelle S.564,Die Forelle S.564,24
,Gnomenreigen,侏儒之舞,侏儒之舞,Gnomenreigen,Gnomenreigen,Gnomenreigen,Gnomenreigen,Gnomenreigen,난쟁이의 춤,Gnomenreigen,Gnomenreigen,Gnomenreigen,رقصة الأقزام,Gnomenreigen,Gnomenreigen,12
,Etude Op.13 No.2,威尼斯船歌练习曲,威尼斯船歌練習曲,Etude Op.13 No.2,Etude Op.13 No.2,Этюд Оп. 13 №2,Etude Op.13 No.2,Etude Op.13 Nr.2,"에튀드 Op.13 No.2",Etude Op.13 No.2,Etude Op.13 No.2,Etude Op.13 No.2,القطعة الموسيقية No.2 Op.13,Etude Op.13 No.2,Etude Op.13 No.2,27
,Murmuring Zephyrs P.190,徐风低喃,徐風低喃,Murmuring Zephyrs P.190,Murmuring Zephyrs P.190,Murmuring Zephyrs P.190,Murmuring Zephyrs P.190,Murmuring Zephyrs P.190,속삭이는미풍P.190,Murmuring Zephyrs P.190,Murmuring Zephyrs P.190,Murmuring Zephyrs P.190,همهمة زفرس P.190,Murmuring Zephyrs P.190,Murmuring Zephyrs P.190,16
,Etude Op.740 No.44,练习曲 Op.740 No.44,練習曲 Op.740 No.44,Etude Op.740 No.44,Etude Op.740 No.44,Этюд Оп. 740 №44,Etude Op.740 No.44,Etude Op.740 No.44,에튀드 Op.740 No.44,Etude Op.740 No.44,Etude Op.740 No.44,Etude Op.740 No.44,القطعة الموسيقية No.44 Op.740,Etude Op.740 No.44,Etude Op.740 No.44,29
,Serenade No.13 K.525 Mvt.4,G大调弦乐小夜曲 第四章,G大調弦樂小夜曲 第四章,Serenade No.13 K.525 Mvt.4,Serenade No.13 K.525 Mvt.4,Серенада № 13 К. 525 МВт.4,Serenade No.13 K.525 Mvt.4,Serenade Nr.13 K.525 Mvt.4,세레나데 No.13 K.525 Mvt.4,Serenade No.13 K.525 Mvt.4,Serenade No.13 K.525 Mvt.4,Serenade No.13 K.525 Mvt.4,Mvt.4 K.525 No.13 اللحن الغرامي,Serenade No.13 K.525 Mvt.4,Serenade No.13 K.525 Mvt.4,
,Flowers and Fishes,花与鱼,花與魚,Flowers and Fishes,Flowers and Fishes,Цветок и рыба,Flowers and Fishes,Blume und Fisch,꽃 및 물고기,Flowers and Fishes,Flowers and Fishes,Flowers and Fishes,الزهرة والسمكة,Çiçek ve Balık,Bunga dan Ikan,
,Je te veux,我需要你,我需要你,Je te veux,Je te veux,Я хочу тебя,Je te veux,Je te veux,그대를 원해요,Je te veux,Je te veux,Je te veux,Je te veux,Je te veux,Je te veux,
,Sonatina Op.55 No.2 Mvt.2,小奏鸣曲 Op.55 No.2 第二章,小奏鳴曲 Op.55 No.2 第二章,Sonatina Op.55 No.2 Mvt.2,Sonatina Op.55 No.2 Mvt.2,Сонатина Соч. 55 № 2 МВт.2,Sonatina Op.55 No.2 Mvt.2,Sonatina Op.55 Nr.2 Mvt.2,소나티나 Op.55 No.2 Mvt.2,Sonatina Op.55 No.2 Mvt.2,Sonatina Op.55 No.2 Mvt.2,Sonatina Op.55 No.2 Mvt.2,Mvt.2 No.2 Op.55 السوناتينا,Sonatina Op.55 No.2 Mvt.2,Sonatina Op.55 No.2 Mvt.2,
,Waves Of The Ocean,海洋之波,海洋之波,Waves Of The Ocean,Waves Of The Ocean,Волны океана,Waves Of The Ocean,Waves Of The Ocean,Waves Of The Ocean,Waves Of The Ocean,Waves Of The Ocean,Waves Of The Ocean,أمواج المحيط,Waves Of The Ocean,Waves Of The Ocean,
,Champagne Bridge,香槟桥,香檳橋,Champagne Bridge,Champagne Bridge,Мост Шампанское,Champagne Bridge,Champagner-Brücke,샴페인 다리,Champagne Bridge,Champagne Bridge,Champagne Bridge,جسر الشمبانيا,Şampanya Köprüsü,Jembatan Champagne,
,Thunder in the Dry Season,旱天雷,旱天雷,Thunder in the Dry Season,Thunder in the Dry Season,Гром в сухой день,Thunder in the Dry Season,Sommer-Gewitter,한천뢰,Thunder in the Dry Season,Thunder in the Dry Season,Thunder in the Dry Season,الرعد في الجو المجفف,Gök Gürültüsü,Petir musim panas,
,Water Flows Streamer,逝水·流光,逝水·流光,Water Flows Streamer,Water Flows Streamer,"Течение воды, излучение света",Water Flows Streamer,Die Zeit,흘러가는 물 · 흘러가는 세월,Water Flows Streamer,Water Flows Streamer,Water Flows Streamer,الألحان في الذاكرة,Geçmiş Su ve Zaman,Air beralirwaktu berjalan,
,Sonata Op.24 No.5 Mvt.4,春天奏鸣曲 第四章,春天奏鳴曲 第四章,Sonata Op.24 No.5 Mvt.4,Sonata Op.24 No.5 Mvt.4,Соната Соч. 24 №5 МВт.4,Sonata Op.24 No.5 Mvt.4,Sonata Op.24 Nr.5 Mvt.4,소나타 Op.24 No.5 Mvt.4,Sonata Op.24 No.5 Mvt.4,Sonata Op.24 No.5 Mvt.4,Sonata Op.24 No.5 Mvt.4,Mvt.4 No.5 Op.24 السوناتا,Sonata Op.24 No.5 Mvt.4,Sonata Op.24 No.5 Mvt.4,
,Dance Of The Golden Snake 2,金蛇狂舞 2,金蛇狂舞 2,Dance Of The Golden Snake 2,Dance Of The Golden Snake 2,Танец золотой змеи 2,Dance Of The Golden Snake 2,Schlange tanzen,금사광무,Dance Of The Golden Snake 2,Dance Of The Golden Snake 2,Dance Of The Golden Snake 2,رقص الأفعى الذهبية الثانية,Golden Snake Dance 2,Tarian Ular Emas 2,
,Star Clock,星星钟,星星鐘,Star Clock,Star Clock,Звездные часы,Star Clock,Glocke,별 벽시계,Star Clock,Star Clock,Star Clock,الساعة على شكل النجوم,Yıldız Saati,Jam Bintang,
,Pick Tea and Catch Butterflies,采茶扑蝶,採茶撲蝶,Pick Tea and Catch Butterflies,Pick Tea and Catch Butterflies,Порхание бабочек на сборе чая,Pick Tea and Catch Butterflies,Tee und Schmetterling,채차박접,Pick Tea and Catch Butterflies,Pick Tea and Catch Butterflies,Pick Tea and Catch Butterflies,قطف أوراق الشاي وصيد الفراشة,Çay Toplayıp Kelebekle Dans,"Petik Daun Teh,Kejar Kupu-kupu",
,Etude Op.10 No.5,黑键练习曲,黑鍵練習曲,Etude Op.10 No.5,Etude Op.10 No.5,Этюд Соч. 10 № 5,Etude Op.10 No.5,Etude Op.10 Nr.5,에튀드 Op.10 No.5,Etude Op.10 No.5,Etude Op.10 No.5,Etude Op.10 No.5,No.5 Op.10 القطعة الموسيقية,Etude Op.10 No.5,Etude Op.10 No.5,
,Preambule From Carnaval,狂欢节前奏曲,狂歡節前奏曲,Preambule From Carnaval,Preambule From Carnaval,Преамбуле от карнавала,Preambule From Carnaval,Preambule From Carnaval,Preambule From Carnaval,Preambule From Carnaval,Preambule From Carnaval,Preambule From Carnaval,الافتتاحية من الكرنفال,Preambule From Carnaval,Preambule From Carnaval,
,Little New Year Greetings,小拜年,小拜年,Little New Year Greetings,Little New Year Greetings,Поздравление с Новым годом,Little New Year Greetings,Gratulation zum Neujahr,소배년,Little New Year Greetings,Little New Year Greetings,Little New Year Greetings,عيد الربيع المبارك,Yılbaşı Partisi,Small New Year,
,Zigeunerweisen Op.20,流浪者之歌,流浪者之歌,Zigeunerweisen Op.20,Zigeunerweisen Op.20,Цыганские напевы Соч. 20,Zigeunerweisen Op.20,Zigeunerweisen Op.20,지고이네르바이젠 Op.20,Zigeunerweisen Op.20,Zigeunerweisen Op.20,Zigeunerweisen Op.20,Zigeunerweisen Op.20,Zigeunerweisen Op.20,Zigeunerweisen Op.20,
,Indian Dreams,印第安之梦,印第安之夢,Indian Dreams,Indian Dreams,Индийская ночь,Indian Dreams,Traum von Indianer,인디언 꿈,Indian Dreams,Indian Dreams,Indian Dreams,الحلم الهندي,Hint Rüyası,Mimpian Indian,
,British Hunters,英国猎人,英國獵人,British Hunters,British Hunters,Британский охотник,British Hunters,Jäger von Großbritannien,영국 사냥꾼,British Hunters,British Hunters,British Hunters,صياد بريطاني,İngiliz Avcı,Pemburu Inggris,
,Click Go The Shears,剪羊毛,剪羊毛,Click Go The Shears,Click Go The Shears,Стрижка овец,Click Go The Shears,Click Go The Shears,짤깍짤깍 양털을 깎자,クリック・ゴー・ザ・シェーアズ,Click Go The Shears,Click Go The Shears,قص الصوف من الغنم,Click Go The Shears,"Klik""Go The Shears""",
,Die Forelle D550,鳟鱼,鱒魚,Die Forelle D550,Die Forelle D550,Форель D550,Die Forelle D550,Die Forelle D550,Die Forelle D550,Die Forelle D550,Die Forelle D550,Die Forelle D550,Die Forelle D550,Die Forelle D550,Die Forelle D550,
,Ievan Polkka,伊娃的波尔卡,伊娃的波爾卡,Ievan Polkka,Ievan Polkka,Евина полька,Ievan Polkka,Ievan Polkka,이에반 폴카,Ievan Polkka,Ievan Polkka,Ievan Polkka,لفان بولكا,Ievan Polkka,Ievan Polkka,
,Kiss The Rain,Kiss The Rain,Kiss The Rain,Kiss The Rain,Kiss The Rain,Kiss The Rain,Kiss The Rain,Kiss The Rain,Kiss The Rain,Kiss The Rain,Kiss The Rain,Kiss The Rain,Kiss The Rain,Kiss The Rain,Kiss The Rain,
,Kiss The Rain High speed,Kiss The Rain High speed,Kiss The Rain High speed,Kiss The Rain High speed,Kiss The Rain High speed,Kiss The Rain High speed,Kiss The Rain High speed,Kiss The Rain High speed,Kiss The Rain High speed,Kiss The Rain High speed,Kiss The Rain High speed,Kiss The Rain High speed,Kiss The Rain High speed,Kiss The Rain High speed,Kiss The Rain High speed,
,Kiss The Rain Medium speed,Kiss The Rain Medium speed,Kiss The Rain Medium speed,Kiss The Rain Medium speed,Kiss The Rain Medium speed,Kiss The Rain Medium speed,Kiss The Rain Medium speed,Kiss The Rain Medium speed,Kiss The Rain Medium speed,Kiss The Rain Medium speed,Kiss The Rain Medium speed,Kiss The Rain Medium speed,Kiss The Rain Medium speed,Kiss The Rain Medium speed,Kiss The Rain Medium speed,
,River Flows In You,River Flows In You,River Flows In You,River Flows In You,River Flows In You,River Flows In You,River Flows In You,River Flows In You,River Flows In You,River Flows In You,River Flows In You,River Flows In You,River Flows In You,River Flows In You,River Flows In You,
,The Plum Blossom on Snow,踏雪寻梅,踏雪尋梅,The Plum Blossom on Snow,The Plum Blossom on Snow,Сливы на снегу,The Plum Blossom on Snow,The Plum Blossom on Snow,눈의 매화꽃,The Plum Blossom on Snow,The Plum Blossom on Snow,The Plum Blossom on Snow,البرقوق يتفتح في الثلوج,Karlı Erik Çiçekleri,The Plum Blossom on Snow,
,,,,,,,,,,,,,,,,0
,Folk Music,民谣,民謠,Folk Music,Música folklórica,Народная Музыка,Música Folclórica,Folk ,민속음악,民間歌謡,Musique Folklorique,Musica Folk,الموسيقى الشعبية,Halk Müzikleri,Folk Music,16
,James Lord Pierpont,詹姆斯·罗德·皮尔彭特,詹姆斯·羅德·皮爾彭特,James Lord Pierpont,James Lord Pierpont,Джеймс Лорд Пьерпонт,James Lord Pierpont,James Lord Pierpont,제임스 로드 피어폰트,ジェームスロードピアポント,James Lord Pierpont,James Lord Pierpont,جيمس لورد بيربونت,James Lord Pierpont,James Lord Pierpont,17
,Johann Pachelbel,帕赫贝尔,帕赫貝爾,Johann Pachelbel,Johann Pachelbel,Иоганн Пахельбель,Johann Pachelbel,Johann Pachelbel,요한 파헬벨,ヨハン・パッヘルベル,Johann Pachelbel,Johann Pachelbel,يوهان باتشلبل,Johann Pachelbel,Johann Pachelbel,13
,Schubert,舒伯特,舒伯特,Schubert,Schubert,Франц Петер Шуберт,Schubert,Schubert,슈베르트,シューベルト,Schubert,Schubert,شوبرت,Schubert,Schubert,5
,Congfei Wei,魏琮霏,魏琮霏,Congfei Wei,Congfei Wei,Цунфэй Вэй,Congfei Wei,Congfei Wei,위종비,Congfei Wei,Congfei Wei,Congfei Wei,كونغفي وي,Congfei Wei,Congfei Wei,9
,Ferdinand Beyer,费迪南德·拜厄,費迪南德·拜厄,Ferdinand Beyer,Ferdinand Beyer,Фердинанд Бейер,Ferdinand Beyer,Ferdinand Beyer,페르디난트 바이어,フェルディナント・バイエル,Ferdinand Beyer,Ferdinand Beyer,فرديناند باير,Ferdinand Beyer,Ferdinand Beyer,13
,Chopin,肖邦,肖邦,Chopin,Chopin,Фредерик Шопен,Chopin,Chopin,쇼팽,ショパン,Chopin,Chopin,شوبان,Chopin,Chopin,5
,Tekla Badarzewska,巴达捷芙斯卡,巴達捷夫斯卡,Tekla Badarzewska,Tekla Badarzewska,Бадаржевска Текла,Tekla Badarzewska,Tekla Badarzewska,테클라 바다르체프스카,テクラ・バダジェフスカ,Tekla Badarzewska,Tekla Badarzewska,تكلا بادارزيوسك,Tekla Badarzewska,Tekla Badarzewska,15
,Beethoven,贝多芬,貝多芬,Beethoven,Beethoven,"Людвиг ван Бетховен",Beethoven,Beethoven,베토벤,ベートーヴェン,Beethoven,Beethoven,بيتهوفن,Beethoven,Beethoven,7
,Francois Joseph Gossec,弗朗索瓦·约瑟·戈赛克,費朗索瓦·約瑟·戈塞克,Francois Joseph Gossec,Francois Joseph Gossec,Госсек Франсуа Жозеф,Francois Joseph Gossec,François Joseph Gossec,프랑수아조제프 고세크,フランソワ＝ジョセフ・ゴセック ,Francois Joseph Gossec,Francois Joseph Gossec,فرانسوا جوزيف قوسك,Francois Joseph Gossec,Francois Joseph Gossec,18
,Carlos Gardel,卡洛斯·葛戴尔,卡洛斯·葛戴爾,Carlos Gardel,Carlos Gardel,Карлос Гардель,Carlos Gardel,Carlos Gardel,까를로스 가르델,カルロス・ガルデル,Carlos Gardel,Carlos Gardel,كارلوس غارديل,Carlos Gardel,Carlos Gardel,13
,Tchaikovsky,柴可夫斯基,柴可夫斯基,Tchaikovsky,Tchaikovsky,Пётр Ильич Чайковский,Tchaikovsky,Tchaikovsky,차이콥스키,チャイコフスキー,Tchaikovsky,Tchaikovsky,تشايكوفسكي,Tchaikovsky,Tchaikovsky,10
,Kuhlau,库劳,庫勞,Kuhlau,Kuhlau,Фридрих Кулау,Kuhlau,Kuhlau,쿨라우,クーラウ,Kuhlau,Kuhlau,كوهلو,Kuhlau,Kuhlau,5
,Johann Strauss,老约翰·施特劳斯,老約翰·施特勞斯,Johann Strauss,Johann Strauss,Иоганн Штраус,Johann Strauss,Johann Strauss,요한 슈트라우스,ヨハン・シュトラウス,Johann Strauss,Johann Strauss,يوهان شتراوس,Johann Strauss,Johann Strauss,12
,Johann Strauss II,小约翰·施特劳斯,小約翰·施特勞斯,Johann Strauss II,Johann Strauss II,Иоганн Штраус II,Johann Strauss II,Johann Strauss II,요한 슈트라우스 II,ヨハン・シュトラウス II,Johann Strauss II,Johann Strauss II,يوهان شتراوس الثاني,Johann Strauss II,Johann Strauss II,19
,Mozart,莫扎特,莫扎特,Mozart,Mozart,Вольфганг Амадей Моцарт,Mozart,Mozart,모차르트,モーツァルト,Mozart,Mozart,موزارت,Mozart,Mozart,6
,Jacques Offenbach,奥芬巴赫,奧芬巴赫,Jacques Offenbach,Jacques Offenbach,Жак Оффенбах,Jacques Offenbach,Jacques Offenbach,자크 오펜바흐,ジャック・オッフェンバック,Jacques Offenbach,Jacques Offenbach,جاك أوفنباخ,Jacques Offenbach,Jacques Offenbach,11
,Hermann Necke,赫尔曼·奈克,赫爾曼·奈克,Hermann Necke,Hermann Necke,Hermann Necke,Hermann Necke,Hermann Necke,헤르만 네케,ヘルマン・ネッケ,Hermann Necke,Hermann Necke,هيرمان نكي,Hermann Necke,Hermann Necke,10
,Czerny,车尔尼,車爾尼,Czerny,Czerny,Карл Черни,Czerny,Czerny,체르니,ツェルニー,Czerny,Czerny,تشيرني,Czerny,Czerny,6
,Unknown,佚名,佚名,Unknown,Desconocido ,Аноним,Desconhecido,Unbekannt,작자미상,知らない者,John Doe,Ignoto,غير معروف,Bilinmeyen,Unknown,9
,Saint-Seans,圣·桑,聖·桑,Saint-Seans,Saint-Seans,Камиль Сен-Санс,Saint-Seans,Saint-Seans,생상스,サンサーンス,Saint-Seans,Saint-Seans,سان شون,Saint-Seans,Saint-Seans,7
,Haydn,海顿,海頓,Haydn,Haydn,Йозеф Гайдн,Haydn,Haydn,하이든,ハイドン,Haydn,Haydn,هايدن,Haydn,Haydn,5
,Carl Bohm,卡尔·博姆,卡爾·博姆,Carl Bohm,Carl Bohm,Карл Бём,Carl Bohm,Carl Bohm,카를 봄,カール・ベーム,Carl Bohm,Carl Bohm,كارل بوم,Carl Bohm,Carl Bohm,8
,Moszkowski,莫里茨·莫什科夫斯基,莫里茨·莫什科夫斯基,Moszkowski,Moszkowski,Мориц Мошковский,Moszkowski,Moszkowski,모슈코프스키,モシュコフスキ,Moszkowski,Moszkowski,موريثز موشيكوفسكي,Moszkowski,Moszkowski,17
,Scott Joplin,乔普林,喬普林,Scott Joplin,Scott Joplin,Скотт Джоплин,Scott Joplin,Scott Joplin,스콧 조플린,スコット・ジョプリン,Scott Joplin,Scott Joplin,سكوت جوبلين,Scott Joplin,Scott Joplin,11
,Johannes Brahms,勃拉姆斯,勃拉姆斯,Johannes Brahms,Johannes Brahms,Иоганнес Брамс,Johannes Brahms,Johannes Brahms,요하네스 브람스,ヨハネス・ブラームス,Johannes Brahms,Johannes Brahms,يوهانس برامز,Johannes Brahms,Johannes Brahms,12
,Frank Meacham,米查姆,米查姆,Frank Meacham,Frank Meacham,Frank Meacham,Frank Meacham,Frank Meacham,프랭크 미챔,フランク・ミーチャム,Frank Meacham,Frank Meacham,فرانك ميتشام,Frank Meacham,Frank Meacham,12
,Bizet,比才,比才,Bizet,Bizet,Жорж Бизе,Bizet,Bizet,비제,ビゼー,Bizet,Bizet,بيزيه,Bizet,Bizet,5
,Clementi,克莱门蒂,克萊門蒂,Clementi,Clementi,Муцио Клементи,Clementi,Clementi,클레멘티,クレメンティ,Clementi,Clementi,كليمنتي,Clementi,Clementi,7
,Gioachino Rossini,罗西尼,羅西尼,Gioachino Rossini,Gioachino Rossini,Джоаккино Россини,Gioachino Rossini,Gioachino Rossini,로씨니,ジョアキーノ・ロッシーニ,Gioachino Rossini,Gioachino Rossini,روسيني,Gioachino Rossini,Gioachino Rossini,6
,JerryC,张逸帆,張逸帆,JerryC,JerryC,JerryC,JerryC,JerryC,JerryC,ジェリーシー,JerryC,JerryC,جيري تشانغ,JerryC,JerryC,10
,Rimsky-Korsakov,里姆斯基·柯萨科夫,裡姆斯基·柯薩科夫,Rimsky-Korsakov,Rimsky-Korsakov,Римского- Корсакова,Rimsky-Korsakov,Rimsky-Korsakov,림스키코르사코프,リムスキーコルサコフ,Rimsky-Korsakov,Rimsky-Korsakov,ريمسكي كورساكوف,Rimsky-Korsakov,Rimsky-Korsakov,15
,Wagner,瓦格纳,瓦格納,Wagner,Wagner,Рихард Вагнер,Wagner,Wagner,바그너,ワーグナー,Wagner,Wagner,فاغنر,Wagner,Wagner,5
,Antonin Dvorak,安东·德沃夏克,安東·德沃夏克,Antonin Dvorak,Antonin Dvorak,Антонин Дворжак,Antonin Dvorak,Antonin Dvorak,안토닌 드보르작,アントン·ドヴォルザーク,Antonin Dvorak,Antonin Dvorak,أنطونين دفوراك,Antonin Dvorak,Antonin Dvorak,14
,Joseph Kuffner,约瑟夫·库夫纳,約瑟夫·庫夫納,Joseph Kuffner,Joseph Kuffner,Йозеф Кюффнер,Joseph Kuffner,Joseph Kuffner,조세프 쿠프너,ヨーゼフキュフナー,Joseph Kuffner,Joseph Kuffner,جوزيف كوفونر,Joseph Kuffner,Joseph Kuffner,12
,Handel,亨德尔,亨德爾,Handel,Handel,Гендель,Handel,Handel,헨델,ヘンデル,Handel,Handel,هاندل,Handel,Handel,5
,Franz Liszt,弗朗兹·李斯特,弗朗茲·李斯特,Franz Liszt,Franz Liszt,Ференц Лист,Franz Liszt,Franz Liszt,프란츠 리스트,フランツ・リスト,Franz Liszt,Franz Liszt,فرانز ليزت,Franz Liszt,Franz Liszt,10
,Antonio Vivaldi,安东尼奥·维瓦尔第,安東尼奧·維瓦爾第,Antonio Vivaldi,Antonio Vivaldi,Антонио Вивальди,Antonio Vivaldi,Antonio Vivaldi,안토니오 비발디,アントニオ・ヴィヴァルディ,Antonio Vivaldi,Antonio Vivaldi,أنطونيو فيفالدي,Antonio Vivaldi,Antonio Vivaldi,15
,C.P.E.Bach,C.P.E.巴赫,C.P.E.巴赫,C.P.E.Bach,C.P.E.Bach,C.P.E.Бах,C.P.E.Bach,C.P.E.Bach,C.P.E.바흐,C.P.E.バッハ,C.P.E.Bach,C.P.E.Bach,C.P.E.باخ,C.P.E.Bach,C.P.E.Bach,9
,Joseph Brackett,约瑟夫·布雷克特,約瑟夫·布雷克特,Joseph Brackett,Joseph Brackett,Иосиф Брэкетт,Joseph Brackett,Joseph Brackett,요셉 브랙켓,ジョゼフ・ブラケット,Joseph Brackett,Joseph Brackett,جوزيف بركليت,Joseph Brackett,Joseph Brackett,12
,Mendelssohn,门德尔松,門德爾松,Mendelssohn,Mendelssohn,Мендельсон,Mendelssohn,Mendelssohn,멘델스존,メンデルスゾーン,Mendelssohn,Mendelssohn,مندلسن,Mendelssohn,Mendelssohn,6
,Rachmaninoff,拉赫玛尼诺夫,拉赫瑪尼諾夫,Rachmaninoff,Rachmaninoff,Рахманинов,Rachmaninoff,Rachmaninoff,라흐마니노프,ラフマニノフ,Rachmaninoff,Rachmaninoff,رشمنوف,Rachmaninoff,Rachmaninoff,6
,Gustav Holst,古斯塔夫·霍尔斯特,古斯塔夫·霍爾斯特,Gustav Holst,Gustav Holst,Густав Хольст,Gustav Holst,Gustav Holst,귀스타브 홀스트,グスターヴ・ホルスト,Gustav Holst,Gustav Holst,جوستاف هولست,Gustav Holst,Gustav Holst,12
,Prohaska,普罗修斯卡,普羅修斯卡,Prohaska,Prohaska,Прохазка,Prohaska,Prohaska,프로하스카,プロハスカ,Prohaska,Prohaska,بروهاسكا,Prohaska,Prohaska,8
,American Folk Music,美国民谣,美國民謠,American Folk Music,Música folklórica de Estados Unidos,Американская Народная Музыка,Música Folclórica Americana,Amerikanischer Folk,미국 민속 음악,アメリカ民謡,Musique Folklorique Américaine,Musica Folk Americana,الموسيقى الشعبية الامريكية,Amerika Halk Müzikleri,American Folk Music,26
,English Folk Music,英国民谣,英國民謠,English Folk Music,Música folklórica del Reino Unido,Английская Hародная Mузыка,Música Folclórica Inglesa,Englischer Folk,영국 민속 음악,イギリス民謡,Musique Folklorique Anglaise,Musica Folk Britannica,الموسيقى الشعبية الإنجليزية,İngiltere Halk Müzikleri,English Folk Music,27
,French Folk Music,法国民谣,法國民謠,French Folk Music,Música folklórica francesa,Французская Hародная Mузыка,Música Folclórica Francesa,Französischer Folk,프랑스 민속 음악,フランス民謡,Musique Folklorique Française,Musica Folk Francese,الموسيقى الشعبية الفرنسية,Fransa Halk Müzikleri,French Folk Music,25
,Chinese Folk Music,中国民谣,中國民謠,Chinese Folk Music,Música folklórica china,Китайская Hародная Mузыка,Música Folclórica Chinesa,Chinesischer Folk,중국 민속 음악,中国民謡,Musique Folklorique Chinoise,Musica Folk Cinese,الموسيقى الشعبية الصينية,Çin Halk Müzikleri,Chinese Folk Music,24
,Polish Folk Music,波兰民谣,波蘭民謠,Polish Folk Music,Música folklórica polonesa,Польская Hародная Mузыка,Música Folclórica Polonesa,Polnischer Folk,폴란드 민속 음악,ポーリッシュ民謡,Musique Folklorique Polonaise,Musica Folk Polacca,الموسيقى الشعبية البولندية,Polonya Halk Müzikleri,Polish Folk Music,26
,Russian Folk Music,俄罗斯民谣,俄羅斯民謠,Russian Folk Music,Música folklórica rusa,Русская Hародная Mузыка,Música Folclórica Russa,Russischer Folk,러시아 민속 음악,ラシアン民謡,Musique Folklorique Russe,Musica Folk Russa,الموسيقى الشعبية الروسية,Rusya Halk Müzikleri,Russian Folk Music,24
,Korean Folk Music,韩国民谣,韓國民謠,Korean Folk Music,Música folklórica coreana,Корейская Hародная Mузыка,Música Folclórica Coreana,Koreanischer Folk,한국 민속 음악,韓国民謡,Musique Folklorique Coréene,Musica Folk Coreana,الموسيقى الشعبية الكورية,Kore Halk Müzikleri,Korean Folk Music,24
,Canadian Folk Music,加拿大民谣,加拿大民謠,Canadian Folk Music,Música folklórica canadiense,Канадская Hародная Mузыка,Música Folclórica Canadense,Kanadischer Folk,캐나다 민속 음악,カナデイアン民謡,Musique Folklorique Canadienne,Musica Folk Canadese,الموسيقى الشعبية الكندية,Kanada Halk Müzikleri,Canadian Folk Music,24
,Italian Folk Music,意大利民谣,意大利民謠,Italian Folk Music,Música folklórica italiana,Итальянский Народная Музыка,Música Folclórica Italiana,Italienische Folk,이탈리아어 민속 음악,イタリア民謡,Musique Folklorique Italienne,Musica Folk Italiana,الموسيقى الشعبية الايطالية,İtalya Halk Müzikleri,Italian Folk Music,26
,Shostakovich,肖斯塔科维奇,肖斯塔科維奇,Shostakovich,Shostakovich,Шостакович,Shostakovich,Shostakovich,쇼스타코비치,シャスタコー ヴィチ,Shostakovich,Shostakovich,شوستاكوفيتش,Shostakovich,Shostakovich,11
,Grieg,格里格,格里格,Grieg,Grieg,Григ,Grieg,Grieg,그리그,グリーグ,Grieg,Grieg,غريغ,Grieg,Grieg,4
,Dunayevsky,杜那耶夫斯基,杜那耶夫斯基,Dunayevsky,Dunayevsky,Дунаевский,Dunayevsky,Dunayevsky,두나이예프스키,ドゥナエフスキー,Dunayevsky,Dunayevsky,دوناييفسكي,Dunayevsky,Dunayevsky,10
,Emil Waldteufel,埃米尔·瓦尔德退费尔,埃米爾·瓦爾德退費爾,Emil Waldteufel,Emil Waldteufel,Эмиль Вальдтейфель,Emil Waldteufel,Emil Waldteufel,에밀 발퇴펠,エミール・ワルトトイフェル,Emil Waldteufel,Emil Waldteufel,اميل والدتوفل,Emil Waldteufel,Emil Waldteufel,13
,Thomas Moore,托马斯·莫尔,托馬斯·莫爾,Thomas Moore,Thomas Moore,Томас Мур,Thomas Moore,Thomas Moore,토마스 무어,トマスムーア,Thomas Moore,Thomas Moore,توماس مور,Thomas Moore,Thomas Moore,9
,Xian Xinghai,冼星海,冼星海,Xian Xinghai,Xian Xinghai,Сянь Синхай,Xian Xinghai,Xian Xinghai,선성해,冼星海,Xian Xinghai,Xian Xinghai,شيان شينغ هاى,Xian Xinghai,Xian Xinghai,13
,Weber,韦伯,韋伯,Weber,Weber,Вебер,Weber,Weber,웨버,ウェーバー,Weber,Weber,ويبر,Weber,Weber,4
,Faure,福莱,福萊,Faure,Faure,Faure,Faure,Faure,포레,フォーレ,Faure,Faure,فور,Faure,Faure,3
,Walter,瓦尔特,瓦爾特,Walter,Walter,Уолтер,Walter,Walter,월터,ウォールター,Walter,Walter,والتر,Walter,Walter,5
,Scarlatti,斯卡拉蒂,斯卡拉蒂,Scarlatti,Scarlatti,Скарлатти,Scarlatti,Scarlatti,스카를라티,スカルラッティ,Scarlatti,Scarlatti,سكارلاتي,Scarlatti,Scarlatti,8
